date,source,medium,market,device_category,sessions,users,new_users,engaged_sessions,engagement_rate,avg_session_duration,events,conversions,total_revenue,bounce_rate
2024-07-06,referral,referral,FR,mobile,327,281,192,163,0.499,183.0,1245,7,882.09,0.537
2024-07-06,referral,referral,FR,tablet,63,52,33,32,0.51,181.1,241,1,121.67,0.53
2024-07-06,direct,(none),DE,desktop,132,112,72,76,0.577,209.1,485,3,335.44,0.365
2024-07-06,direct,(none),DE,mobile,240,199,121,134,0.56,186.2,758,6,700.38,0.457
2024-07-06,direct,(none),DE,tablet,37,31,20,23,0.623,205.9,121,1,106.32,0.336
2024-07-07,google,organic,US,desktop,1411,1191,916,900,0.638,182.8,5496,49,6450.52,0.336
2024-07-07,google,organic,US,mobile,1841,1394,839,1220,0.663,177.4,7450,61,8142.89,0.349
2024-07-07,google,organic,US,tablet,294,227,142,189,0.643,227.9,938,11,1630.9,0.402
2024-07-07,direct,(none),US,desktop,1100,942,667,740,0.673,148.0,4216,38,6179.99,0.271
2024-07-07,direct,(none),US,mobile,1430,1125,750,991,0.693,128.7,5944,68,10243.63,0.323
2024-07-07,direct,(none),US,tablet,217,176,123,160,0.74,216.2,844,9,1310.03,0.25
2024-07-07,newsletter,email,US,desktop,300,221,158,171,0.572,157.9,988,15,2397.19,0.483
2024-07-07,newsletter,email,US,mobile,365,283,185,203,0.558,180.2,1393,18,3227.02,0.396
2024-07-07,newsletter,email,US,tablet,81,62,42,47,0.593,153.4,272,4,641.2,0.4
2024-07-07,google,organic,UK,desktop,690,572,361,409,0.594,145.9,2561,17,2227.58,0.446
2024-07-07,google,organic,UK,mobile,962,748,572,641,0.667,159.4,3608,29,3831.42,0.382
2024-07-07,google,organic,UK,tablet,184,148,103,120,0.657,205.3,717,4,499.69,0.366
2024-07-07,referral,referral,FR,desktop,188,156,118,97,0.518,210.7,672,4,438.55,0.564
2024-07-07,referral,referral,FR,mobile,291,225,153,162,0.559,210.7,1124,7,763.14,0.438
2024-07-07,referral,referral,FR,tablet,48,38,25,26,0.558,181.8,166,0,0.0,0.483
2024-07-07,direct,(none),DE,desktop,159,126,76,95,0.598,236.5,647,4,516.97,0.452
2024-07-07,direct,(none),DE,mobile,185,145,91,114,0.618,184.3,736,4,532.68,0.38
2024-07-07,direct,(none),DE,tablet,42,35,25,25,0.611,202.1,182,1,113.0,0.407
2024-07-08,google,organic,US,desktop,1750,1235,845,1144,0.654,211.2,5989,52,7378.24,0.357
2024-07-08,google,organic,US,mobile,2794,2237,1350,1803,0.645,170.6,11446,101,13825.53,0.403
2024-07-08,google,organic,US,tablet,486,399,259,341,0.703,182.3,1819,16,2275.21,0.325
2024-07-08,direct,(none),US,desktop,1356,1086,814,1018,0.751,168.2,4324,54,8646.78,0.26
2024-07-08,direct,(none),US,mobile,2250,1701,1083,1524,0.678,143.9,7802,97,15962.83,0.298
2024-07-08,direct,(none),US,tablet,317,231,155,219,0.694,224.9,1220,13,1911.65,0.27
2024-07-08,newsletter,email,US,desktop,352,272,169,193,0.551,190.2,1369,16,2956.32,0.386
2024-07-08,newsletter,email,US,mobile,667,527,332,373,0.56,179.8,2412,30,4301.29,0.383
2024-07-08,newsletter,email,US,tablet,116,90,58,66,0.577,165.9,420,5,897.53,0.396
2024-07-08,google,organic,UK,desktop,941,725,450,584,0.621,177.2,3321,27,3307.88,0.391
2024-07-08,google,organic,UK,mobile,1929,1475,1004,1198,0.621,198.1,7634,59,7645.57,0.365
2024-07-08,google,organic,UK,tablet,255,203,120,153,0.602,209.9,952,8,1162.27,0.393
2024-07-08,referral,referral,FR,desktop,288,226,139,150,0.524,202.8,1087,6,711.32,0.448
2024-07-08,referral,referral,FR,mobile,486,382,276,260,0.537,151.6,1655,8,820.85,0.442
2024-07-08,referral,referral,FR,tablet,88,76,44,51,0.585,167.1,336,1,114.61,0.349
2024-07-08,direct,(none),DE,desktop,219,177,118,126,0.578,194.8,841,5,632.25,0.419
2024-07-08,direct,(none),DE,mobile,352,279,187,217,0.617,169.3,1141,9,1182.76,0.392
2024-07-08,direct,(none),DE,tablet,62,49,34,36,0.594,167.7,254,1,128.54,0.441
2024-07-09,google,organic,US,desktop,1879,1409,931,1209,0.643,166.6,7051,70,9440.49,0.352
2024-07-09,google,organic,US,mobile,2685,2272,1468,1637,0.61,137.5,10294,86,12684.12,0.349
2024-07-09,google,organic,US,tablet,470,350,239,315,0.671,189.1,1550,15,2139.36,0.285
2024-07-09,direct,(none),US,desktop,1196,1029,669,797,0.666,163.6,4146,60,10539.27,0.353
2024-07-09,direct,(none),US,mobile,1856,1573,944,1408,0.759,205.1,6763,86,12853.08,0.217
2024-07-09,direct,(none),US,tablet,393,313,216,308,0.786,160.5,1433,19,3102.55,0.202
2024-07-09,newsletter,email,US,desktop,373,290,180,218,0.587,182.1,1418,16,2545.49,0.345
2024-07-09,newsletter,email,US,mobile,675,571,333,400,0.594,163.5,2697,32,5285.77,0.408
2024-07-09,newsletter,email,US,tablet,139,113,70,81,0.583,170.0,522,6,908.02,0.424
2024-07-09,google,organic,UK,desktop,992,835,532,554,0.559,170.2,3073,30,3377.74,0.407
2024-07-09,google,organic,UK,mobile,1481,1276,769,918,0.62,195.7,6292,47,6644.7,0.406
2024-07-09,google,organic,UK,tablet,240,195,137,141,0.59,164.3,816,7,904.96,0.399
2024-07-09,referral,referral,FR,desktop,238,189,119,132,0.557,149.1,896,4,396.02,0.396
2024-07-09,referral,referral,FR,mobile,380,300,199,211,0.557,188.3,1299,8,848.87,0.459
2024-07-09,referral,referral,FR,tablet,78,63,40,43,0.561,179.8,312,1,94.42,0.405
2024-07-09,direct,(none),DE,desktop,238,188,124,135,0.568,181.8,790,5,580.68,0.447
2024-07-09,direct,(none),DE,mobile,353,290,167,211,0.6,174.7,1105,8,940.77,0.417
2024-07-09,direct,(none),DE,tablet,60,46,32,32,0.533,178.3,182,1,125.04,0.419
2024-07-10,google,organic,US,desktop,1460,1307,768,1027,0.704,175.4,5118,53,8213.4,0.269
2024-07-10,google,organic,US,mobile,2598,2166,1462,1781,0.686,193.9,11350,92,13108.55,0.322
2024-07-10,google,organic,US,tablet,494,411,276,333,0.676,205.5,1906,18,2316.32,0.31
2024-07-10,direct,(none),US,desktop,1357,1162,647,949,0.7,180.6,4579,52,8366.23,0.338
2024-07-10,direct,(none),US,mobile,1465,1162,795,1095,0.748,188.6,6375,61,10447.39,0.239
2024-07-10,direct,(none),US,tablet,354,266,188,253,0.716,189.7,1268,15,2398.92,0.262
2024-07-10,newsletter,email,US,desktop,375,299,207,237,0.634,188.2,1527,15,2786.49,0.384
2024-07-10,newsletter,email,US,mobile,660,523,314,367,0.556,231.6,2200,28,4228.32,0.401
2024-07-10,newsletter,email,US,tablet,120,101,63,64,0.54,187.9,441,6,925.09,0.45
2024-07-10,google,organic,UK,desktop,968,777,496,583,0.603,130.0,3379,31,4304.12,0.382
2024-07-10,google,organic,UK,mobile,1791,1430,842,1018,0.569,212.9,6379,47,5005.67,0.418
2024-07-10,google,organic,UK,tablet,295,227,137,177,0.603,213.6,939,8,1140.74,0.413
2024-07-10,referral,referral,FR,desktop,287,222,146,153,0.535,156.8,947,6,656.81,0.476
2024-07-10,referral,referral,FR,mobile,450,367,237,241,0.537,158.0,1429,7,747.49,0.404
2024-07-10,referral,referral,FR,tablet,67,56,37,36,0.538,241.3,207,1,109.02,0.491
2024-07-10,direct,(none),DE,desktop,214,155,103,130,0.61,120.8,945,5,632.26,0.354
2024-07-10,direct,(none),DE,mobile,359,302,203,215,0.6,155.9,1299,8,1003.93,0.373
2024-07-10,direct,(none),DE,tablet,64,49,31,39,0.618,161.0,252,1,117.4,0.417
2024-07-11,google,organic,US,desktop,1778,1500,1132,1141,0.642,197.4,6159,55,7579.6,0.319
2024-07-11,google,organic,US,mobile,2458,2024,1280,1654,0.673,188.1,10778,90,13723.13,0.337
2024-07-11,google,organic,US,tablet,522,441,306,342,0.657,185.6,2035,17,2244.09,0.382
2024-07-11,direct,(none),US,desktop,1509,1151,719,1148,0.761,194.4,5960,69,10489.03,0.245
2024-07-11,direct,(none),US,mobile,1997,1529,1034,1526,0.765,171.0,7501,85,12874.96,0.248
2024-07-11,direct,(none),US,tablet,323,275,190,221,0.686,225.8,1215,12,2024.36,0.326
2024-07-11,newsletter,email,US,desktop,333,259,174,172,0.517,182.3,1251,14,2288.5,0.483
2024-07-11,newsletter,email,US,mobile,569,476,335,325,0.572,174.6,2258,26,3517.39,0.445
2024-07-11,newsletter,email,US,tablet,109,85,62,62,0.576,180.0,423,5,741.17,0.422
2024-07-11,google,organic,UK,desktop,991,803,542,693,0.7,148.3,4026,33,4459.12,0.284
2024-07-11,google,organic,UK,mobile,1860,1324,826,1220,0.656,170.0,7980,47,5566.4,0.329
2024-07-11,google,organic,UK,tablet,296,234,148,196,0.664,220.9,1049,7,752.94,0.342
2024-07-11,referral,referral,FR,desktop,304,243,159,160,0.528,197.7,1313,4,437.27,0.435
2024-07-11,referral,referral,FR,mobile,363,273,185,203,0.561,219.4,1344,5,539.52,0.39
2024-07-11,referral,referral,FR,tablet,68,55,36,38,0.566,170.3,271,1,119.83,0.446
2024-07-11,direct,(none),DE,desktop,206,166,109,133,0.648,186.6,762,5,640.47,0.372
2024-07-11,direct,(none),DE,mobile,321,241,147,190,0.594,216.4,1157,7,721.68,0.455
2024-07-11,direct,(none),DE,tablet,64,53,37,38,0.595,182.3,272,1,125.64,0.433
2024-07-12,google,organic,US,desktop,1899,1509,993,1282,0.675,201.0,7847,70,10267.74,0.313
2024-07-12,google,organic,US,mobile,2578,2142,1348,1673,0.649,217.2,10702,92,12574.86,0.347
2024-07-12,google,organic,US,tablet,556,443,279,383,0.69,184.9,1938,20,3017.55,0.285
2024-07-12,direct,(none),US,desktop,1204,951,650,894,0.743,165.1,3789,55,7761.2,0.263
2024-07-12,direct,(none),US,mobile,1909,1539,1149,1583,0.829,135.9,7758,78,13103.48,0.184
2024-07-12,direct,(none),US,tablet,412,334,204,310,0.753,183.2,1488,16,2679.66,0.278
2024-07-12,newsletter,email,US,desktop,362,298,190,194,0.537,184.0,1227,14,2099.91,0.425
2024-07-12,newsletter,email,US,mobile,613,457,292,342,0.559,190.1,2402,30,4709.59,0.431
2024-07-12,newsletter,email,US,tablet,108,82,57,57,0.529,177.8,386,5,708.8,0.472
2024-07-12,google,organic,UK,desktop,1028,744,448,634,0.617,193.9,3873,32,3800.78,0.334
2024-07-12,google,organic,UK,mobile,1567,1176,722,1016,0.649,185.1,5468,43,5867.68,0.357
2024-07-12,google,organic,UK,tablet,241,174,132,140,0.582,194.2,1026,7,866.29,0.37
2024-07-12,referral,referral,FR,desktop,233,189,139,125,0.539,165.0,922,4,449.66,0.462
2024-07-12,referral,referral,FR,mobile,421,336,253,238,0.567,209.5,1414,9,1040.61,0.381
2024-07-12,referral,referral,FR,tablet,85,66,38,47,0.554,194.6,319,1,107.09,0.535
2024-07-12,direct,(none),DE,desktop,181,151,99,103,0.574,178.7,576,4,478.2,0.373
2024-07-12,direct,(none),DE,mobile,352,268,156,199,0.568,238.8,1044,9,1015.06,0.42
2024-07-12,direct,(none),DE,tablet,64,52,32,35,0.559,196.8,249,1,124.24,0.425
2024-07-13,google,organic,US,desktop,1192,953,655,786,0.66,193.7,4074,48,6535.94,0.337
2024-07-13,google,organic,US,mobile,1751,1387,954,1181,0.675,222.2,6815,62,8370.09,0.308
2024-07-13,google,organic,US,tablet,422,353,212,284,0.674,197.6,1387,15,1923.68,0.263
2024-07-13,direct,(none),US,desktop,908,735,480,747,0.823,190.2,3409,39,5831.58,0.19
2024-07-13,direct,(none),US,mobile,1519,1234,773,1008,0.664,166.5,5779,60,9517.05,0.33
2024-07-13,direct,(none),US,tablet,278,211,141,193,0.697,138.5,1011,13,1779.88,0.306
2024-07-13,newsletter,email,US,desktop,348,310,196,195,0.562,148.5,1434,15,2328.85,0.373
2024-07-13,newsletter,email,US,mobile,552,467,329,294,0.533,196.4,1700,26,4228.25,0.478
2024-07-13,newsletter,email,US,tablet,96,76,42,57,0.596,182.6,323,3,539.14,0.444
2024-07-13,google,organic,UK,desktop,804,621,327,517,0.644,189.9,2863,26,3609.3,0.361
2024-07-13,google,organic,UK,mobile,1169,937,652,693,0.593,191.5,3927,39,5285.83,0.384
2024-07-13,google,organic,UK,tablet,213,163,120,142,0.67,198.8,910,6,827.64,0.362
2024-07-13,referral,referral,FR,desktop,211,169,119,119,0.568,159.6,609,4,366.19,0.398
2024-07-13,referral,referral,FR,mobile,297,230,161,171,0.579,193.7,1168,6,528.17,0.422
2024-07-13,referral,referral,FR,tablet,47,38,20,25,0.545,194.8,154,1,114.46,0.469
2024-07-13,direct,(none),DE,desktop,172,135,90,103,0.6,179.7,593,3,350.3,0.387
2024-07-13,direct,(none),DE,mobile,227,189,113,135,0.595,211.5,916,6,685.97,0.431
2024-07-13,direct,(none),DE,tablet,39,30,19,22,0.583,170.2,137,0,0.0,0.411
2024-07-14,google,organic,US,desktop,1175,947,627,767,0.653,171.8,4964,44,6169.06,0.335
2024-07-14,google,organic,US,mobile,1778,1452,1073,1076,0.605,197.8,7319,52,7174.5,0.361
2024-07-14,google,organic,US,tablet,344,270,176,219,0.637,199.4,1301,12,1701.59,0.38
2024-07-14,direct,(none),US,desktop,778,675,401,511,0.658,131.2,2279,34,5502.46,0.375
2024-07-14,direct,(none),US,mobile,1102,914,605,800,0.726,196.9,3769,58,9947.89,0.262
2024-07-14,direct,(none),US,tablet,199,158,105,150,0.758,148.4,757,7,1122.88,0.24
2024-07-14,newsletter,email,US,desktop,339,250,183,179,0.531,144.2,1043,16,2319.63,0.419
2024-07-14,newsletter,email,US,mobile,443,362,239,254,0.575,229.4,1663,22,3560.25,0.387
2024-07-14,newsletter,email,US,tablet,83,64,41,48,0.589,127.6,257,4,606.02,0.391
2024-07-14,google,organic,UK,desktop,655,513,349,405,0.618,185.4,2253,20,2829.86,0.364
2024-07-14,google,organic,UK,mobile,1121,894,624,699,0.624,179.1,4292,37,4900.85,0.39
2024-07-14,google,organic,UK,tablet,175,150,104,108,0.622,176.7,710,4,445.83,0.38
2024-07-14,referral,referral,FR,desktop,209,180,117,115,0.551,194.0,752,4,436.99,0.485
2024-07-14,referral,referral,FR,mobile,313,260,168,188,0.603,193.1,1186,5,545.73,0.401
2024-07-14,referral,referral,FR,tablet,47,37,24,25,0.552,132.4,171,0,0.0,0.486
2024-07-14,direct,(none),DE,desktop,171,141,83,100,0.59,196.1,663,4,476.26,0.398
2024-07-14,direct,(none),DE,mobile,262,210,127,168,0.644,139.6,630,7,901.2,0.368
2024-07-14,direct,(none),DE,tablet,33,26,16,19,0.584,218.1,109,0,0.0,0.429
2024-07-15,google,organic,US,desktop,2030,1669,1139,1343,0.662,196.6,7221,61,9191.8,0.369
2024-07-15,google,organic,US,mobile,2861,2226,1286,1867,0.653,143.6,9009,99,13013.13,0.357
2024-07-15,google,organic,US,tablet,495,383,218,308,0.622,158.0,1607,16,2034.41,0.373
2024-07-15,direct,(none),US,desktop,1272,975,665,853,0.671,150.0,4653,57,9448.08,0.371
2024-07-15,direct,(none),US,mobile,1856,1475,893,1252,0.675,186.2,6334,87,11907.38,0.338
2024-07-15,direct,(none),US,tablet,310,237,163,215,0.696,166.1,1053,15,2210.15,0.306
2024-07-15,newsletter,email,US,desktop,413,334,209,237,0.574,190.6,1396,21,3678.66,0.446
2024-07-15,newsletter,email,US,mobile,672,457,311,382,0.569,173.4,2014,33,4668.12,0.435
2024-07-15,newsletter,email,US,tablet,134,104,75,74,0.558,196.2,431,7,1198.49,0.458
2024-07-15,google,organic,UK,desktop,943,701,448,617,0.654,183.5,2947,25,3575.82,0.359
2024-07-15,google,organic,UK,mobile,1325,966,605,745,0.563,175.8,6104,33,4226.16,0.483
2024-07-15,google,organic,UK,tablet,308,244,159,179,0.584,172.8,1167,10,1235.5,0.41
2024-07-15,referral,referral,FR,desktop,250,202,141,141,0.567,148.4,938,4,475.59,0.427
2024-07-15,referral,referral,FR,mobile,363,287,196,202,0.557,166.2,1264,6,639.16,0.413
2024-07-15,referral,referral,FR,tablet,90,68,45,49,0.551,205.5,369,1,113.11,0.411
2024-07-15,direct,(none),DE,desktop,184,140,97,110,0.602,203.5,749,4,481.23,0.397
2024-07-15,direct,(none),DE,mobile,320,249,179,192,0.602,180.4,1088,8,882.81,0.413
2024-07-15,direct,(none),DE,tablet,64,50,33,38,0.606,178.9,237,1,121.25,0.396
2024-07-16,google,organic,US,desktop,1534,1217,820,1001,0.653,205.8,6027,49,6768.56,0.338
2024-07-16,google,organic,US,mobile,2778,2222,1538,1821,0.656,213.2,10526,89,11994.21,0.361
2024-07-16,google,organic,US,tablet,407,303,200,277,0.681,215.3,1473,15,2112.14,0.28
2024-07-16,direct,(none),US,desktop,1236,958,678,888,0.719,145.5,3887,51,6374.45,0.269
2024-07-16,direct,(none),US,mobile,1999,1514,1078,1524,0.763,152.5,7175,92,14258.51,0.211
2024-07-16,direct,(none),US,tablet,347,265,190,257,0.742,171.5,1302,12,1747.84,0.29
2024-07-16,newsletter,email,US,desktop,427,357,239,263,0.618,126.0,1550,23,3961.5,0.422
2024-07-16,newsletter,email,US,mobile,666,518,313,365,0.548,201.8,2590,31,5161.65,0.457
2024-07-16,newsletter,email,US,tablet,135,113,68,79,0.588,134.9,506,6,859.11,0.398
2024-07-16,google,organic,UK,desktop,991,802,517,578,0.584,178.5,3060,29,3636.88,0.412
