date,campaign_id,campaign_name,objective,placement,market,device,impressions,reach,clicks,link_clicks,cost,purchases,purchase_value,add_to_cart,landing_page_views,frequency
2024-07-01,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,8900,6635,124,88,71.23,1.2,145.21,3,79,1.34
2024-07-02,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,7839,4354,170,111,98.19,2.8,343.52,7,97,1.8
2024-07-02,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,25289,14925,481,346,280.71,7.3,928.76,23,282,1.69
2024-07-02,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3988,1636,174,111,72.99,4.0,625.14,15,92,2.44
2024-07-02,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,10256,4104,291,227,184.76,10.1,1486.75,33,192,2.5
2024-07-02,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,4299,2576,66,53,39.07,0.9,98.75,3,45,1.67
2024-07-02,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,10586,7262,237,159,108.21,2.4,261.69,8,132,1.46
2024-07-02,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,4258,3469,145,85,29.67,0.7,61.0,2,68,1.23
2024-07-02,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,19118,11883,604,438,105.27,3.5,371.1,13,380,1.61
2024-07-02,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2996,2057,84,52,41.44,1.5,191.87,5,39,1.46
2024-07-02,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,7835,4608,206,119,112.1,3.4,441.63,14,103,1.7
2024-07-02,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,3071,2281,45,33,25.17,0.5,46.75,1,27,1.35
2024-07-02,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,8456,6822,163,110,69.14,1.6,169.79,5,99,1.24
2024-07-03,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,7468,3975,138,108,101.33,2.3,293.36,9,93,1.88
2024-07-03,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,23055,13293,483,283,322.7,7.2,833.7,30,245,1.73
2024-07-03,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3661,1322,152,97,76.56,4.7,682.44,16,78,2.77
2024-07-03,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,12475,5257,458,316,216.32,15.1,1971.04,51,270,2.37
2024-07-03,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,4646,3325,99,62,43.38,1.2,155.97,4,53,1.4
2024-07-03,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,13565,9702,278,160,137.73,2.0,237.31,8,135,1.4
2024-07-03,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,4702,3722,131,94,28.58,0.9,100.25,3,74,1.26
2024-07-03,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,14340,10601,355,257,84.46,2.2,236.52,6,203,1.35
2024-07-03,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,3329,2267,96,65,50.26,2.0,253.19,7,54,1.47
2024-07-03,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,5347,3855,121,83,89.37,2.1,261.41,8,74,1.39
2024-07-03,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,3401,2419,46,38,26.38,0.6,60.96,2,31,1.41
2024-07-03,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,9547,7181,210,128,70.5,1.6,206.14,6,107,1.33
2024-07-04,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,7491,3594,156,103,93.51,2.1,241.7,9,82,2.08
2024-07-04,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,26901,15437,578,420,277.73,9.9,1259.3,40,381,1.74
2024-07-04,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3852,1518,153,102,69.87,4.7,691.27,16,92,2.54
2024-07-04,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,12613,4769,479,310,242.96,12.1,1999.23,24,262,2.64
2024-07-04,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,6249,3784,108,75,51.27,1.5,182.85,3,60,1.65
2024-07-04,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,15223,8347,334,231,151.12,5.4,649.27,16,190,1.82
2024-07-04,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,3147,2146,82,56,21.92,0.5,46.16,1,47,1.47
2024-07-04,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,15037,11364,498,343,86.72,2.8,296.28,10,282,1.32
2024-07-04,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2471,1810,85,50,36.49,1.3,165.02,4,41,1.36
2024-07-04,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,8046,6077,201,151,114.49,4.7,555.95,16,137,1.32
2024-07-04,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,3570,2775,56,36,25.48,0.6,64.35,1,31,1.29
2024-07-04,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,7257,5168,124,94,70.58,1.1,115.16,4,86,1.4
2024-07-05,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,6859,4203,135,84,81.79,1.9,247.21,5,77,1.63
2024-07-05,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,19322,12148,438,284,254.42,6.5,855.45,24,227,1.59
2024-07-05,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,4229,1660,138,106,77.0,4.0,493.72,15,93,2.55
2024-07-05,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,13393,6459,457,300,248.48,13.7,2018.38,50,255,2.07
2024-07-05,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,5147,2982,83,64,45.78,1.0,116.65,4,54,1.73
2024-07-05,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,15920,9361,286,193,132.36,4.1,512.02,10,149,1.7
2024-07-05,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,5661,4139,172,113,29.85,0.8,91.14,3,94,1.37
2024-07-05,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,15528,12198,379,284,94.08,2.0,206.48,6,210,1.27
2024-07-05,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2726,1640,63,50,38.03,1.0,117.81,3,44,1.66
2024-07-05,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,6940,5175,218,136,108.19,2.9,400.86,10,117,1.34
2024-07-05,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2391,1886,45,28,21.57,0.4,53.3,1,24,1.27
2024-07-05,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,6083,4816,98,73,58.97,1.0,122.26,4,58,1.26
2024-07-06,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,5548,3332,123,96,76.61,2.0,269.96,6,82,1.66
2024-07-06,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,17046,8878,382,249,209.1,6.2,856.98,24,199,1.92
2024-07-06,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3654,1628,122,90,60.01,4.4,703.01,11,73,2.24
2024-07-06,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,8136,3140,279,198,139.69,10.3,1260.12,42,163,2.59
2024-07-06,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,3728,2074,63,42,33.55,0.8,83.63,2,35,1.8
2024-07-06,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,10406,6691,208,144,90.8,2.9,320.22,8,134,1.56
2024-07-06,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,3989,3565,127,88,20.8,0.7,69.11,2,74,1.12
2024-07-06,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,14275,10121,460,308,86.8,2.3,236.11,8,254,1.41
2024-07-06,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,1757,1004,60,34,27.64,0.9,118.82,3,27,1.75
2024-07-06,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,4658,3368,124,72,76.55,2.3,297.44,7,59,1.38
2024-07-06,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2016,1413,35,26,18.68,0.4,44.63,1,21,1.43
2024-07-06,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,6759,4113,128,77,56.91,1.2,156.53,5,67,1.64
2024-07-07,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,4380,2379,109,68,51.75,1.6,208.12,5,58,1.84
2024-07-07,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,15643,8334,372,258,215.49,5.3,647.78,18,214,1.88
2024-07-07,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3269,1397,138,97,56.06,4.4,683.83,12,87,2.34
2024-07-07,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,7599,3214,287,191,158.11,8.9,1179.65,31,150,2.36
2024-07-07,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,4097,3005,80,57,30.64,0.9,118.98,3,50,1.36
2024-07-07,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,7170,4708,162,109,86.37,1.6,199.42,5,87,1.52
2024-07-07,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,2910,2177,71,43,17.42,0.3,26.8,1,36,1.34
2024-07-07,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,10749,8269,331,211,67.32,1.6,149.09,6,178,1.3
2024-07-07,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,1519,1021,38,27,23.59,0.8,102.8,3,22,1.49
2024-07-07,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,4409,2881,122,72,66.63,1.6,212.55,4,66,1.53
2024-07-07,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,1430,1028,22,15,12.76,0.2,21.34,0,13,1.39
2024-07-07,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,4961,2850,81,49,37.37,0.7,83.78,2,44,1.74
2024-07-08,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,5890,3434,138,90,88.28,1.7,215.95,6,74,1.72
2024-07-08,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,30635,15552,745,498,350.83,9.8,1195.7,31,385,1.97
2024-07-08,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,4324,1561,184,114,66.3,5.5,836.02,23,93,2.77
2024-07-08,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,11838,5294,582,387,229.02,17.7,2921.96,70,329,2.24
2024-07-08,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,5690,3721,120,77,45.93,1.6,190.15,4,68,1.53
2024-07-08,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,15363,9729,443,220,159.06,4.0,429.63,12,192,1.58
2024-07-08,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,3989,2977,156,92,24.34,0.8,66.16,3,80,1.34
2024-07-08,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,18789,15410,396,331,93.23,2.6,243.41,12,278,1.22
2024-07-08,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,3541,2465,87,64,41.8,1.7,208.79,5,59,1.44
2024-07-08,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,7734,4942,218,147,113.47,4.0,506.67,16,131,1.56
2024-07-08,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2718,1972,41,29,23.42,0.4,50.94,1,24,1.38
2024-07-08,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,7712,5617,115,77,59.79,1.1,127.31,3,62,1.37
2024-07-09,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,6841,3471,147,105,86.18,2.4,354.62,9,91,1.97
2024-07-09,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,20642,10559,542,327,295.19,6.3,720.57,22,278,1.95
2024-07-09,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3618,1700,121,85,70.51,3.1,520.6,8,70,2.13
2024-07-09,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,13095,5747,538,349,250.94,20.1,3112.43,68,283,2.28
2024-07-09,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,4729,2663,96,61,41.22,1.3,126.57,5,51,1.78
2024-07-09,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,16396,10906,414,223,142.86,4.5,594.67,15,183,1.5
2024-07-09,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,4790,4408,124,88,27.34,0.7,70.74,2,74,1.09
2024-07-09,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,17461,14079,494,315,84.2,2.8,301.02,10,265,1.24
2024-07-09,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2620,1986,75,51,33.94,1.2,140.08,3,43,1.32
2024-07-09,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,9067,7373,236,160,122.53,4.4,522.39,15,136,1.23
2024-07-09,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2889,2137,51,30,24.07,0.5,61.3,2,26,1.35
2024-07-09,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,11946,8395,225,129,80.48,2.2,240.24,8,110,1.42
2024-07-10,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,8508,4594,191,124,95.52,2.5,309.79,10,99,1.85
2024-07-10,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,19287,11420,398,263,239.85,4.7,561.73,21,228,1.69
2024-07-10,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3664,1401,148,100,68.72,5.0,627.69,14,85,2.61
2024-07-10,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,14389,5638,491,337,235.4,17.0,2735.42,50,271,2.55
2024-07-10,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,4543,2997,100,65,43.05,1.2,129.41,4,47,1.52
2024-07-10,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,14389,9315,313,210,149.47,3.8,468.39,19,190,1.54
2024-07-10,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,6002,4564,178,110,32.73,0.9,81.9,3,89,1.31
2024-07-10,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,16814,12905,538,361,92.22,2.8,284.55,10,289,1.3
2024-07-10,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2357,1502,67,42,37.36,1.2,159.04,2,32,1.57
2024-07-10,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,10241,6614,239,177,121.8,5.2,660.45,23,145,1.55
2024-07-10,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,3420,2579,63,40,28.33,0.6,70.47,1,32,1.33
2024-07-10,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,10110,7267,175,114,79.07,1.4,177.57,4,95,1.39
2024-07-11,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,7450,3899,188,117,95.33,3.0,417.57,10,93,1.91
2024-07-11,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,26743,15441,513,331,326.35,7.4,845.4,27,274,1.73
2024-07-11,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,5886,2439,226,134,99.92,5.8,819.55,22,106,2.41
2024-07-11,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,11487,4395,497,305,243.61,16.5,2714.56,61,270,2.61
2024-07-11,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,3956,2688,50,49,40.5,0.9,102.44,3,42,1.47
2024-07-11,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,18215,10511,461,286,154.3,5.6,681.12,18,252,1.73
2024-07-11,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,4304,3857,127,80,24.75,0.7,70.29,2,61,1.12
2024-07-11,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,15486,12575,449,328,86.59,2.4,199.93,8,263,1.23
2024-07-11,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2889,1910,89,51,36.6,1.5,159.91,4,43,1.51
2024-07-11,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,9815,5905,298,189,96.63,4.9,633.46,15,162,1.66
2024-07-11,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2333,1905,42,28,21.5,0.4,46.61,1,25,1.22
2024-07-11,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,10324,7341,228,134,75.24,2.2,269.1,8,120,1.41
2024-07-12,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,7934,4383,146,109,85.74,2.2,342.86,7,94,1.81
2024-07-12,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,22776,13540,604,390,232.21,9.2,1266.67,29,354,1.68
2024-07-12,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3402,1314,95,69,69.85,2.4,393.5,8,52,2.59
2024-07-12,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,13913,6314,615,406,236.99,17.6,2555.64,47,322,2.2
2024-07-12,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,5784,3608,76,59,52.35,1.1,135.99,4,53,1.6
2024-07-12,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,13296,8525,347,208,132.29,3.8,463.31,16,181,1.56
2024-07-12,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,7662,5684,255,145,35.89,1.4,140.37,6,134,1.35
2024-07-12,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,12230,9431,389,239,91.52,1.8,181.23,7,203,1.3
2024-07-12,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,1991,1405,60,38,28.9,1.3,174.3,5,31,1.42
2024-07-12,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,7122,5024,214,151,119.35,3.8,486.26,14,134,1.42
2024-07-12,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2563,1936,31,23,21.4,0.3,35.94,1,18,1.32
2024-07-12,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,10714,7286,147,110,75.63,1.8,197.28,6,83,1.47
2024-07-13,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,5604,3111,119,71,75.81,1.4,175.4,6,58,1.8
2024-07-13,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,16847,9076,403,259,222.43,5.9,763.81,25,205,1.86
2024-07-13,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,3269,1238,133,90,63.69,3.1,462.31,9,73,2.64
2024-07-13,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,8448,3548,256,160,144.82,9.1,1431.2,30,135,2.38
2024-07-13,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,3371,2113,70,40,32.32,0.6,76.14,2,37,1.6
2024-07-13,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,11606,7400,200,151,106.29,2.5,257.16,7,128,1.57
2024-07-13,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,4885,3799,151,103,23.51,0.8,77.36,2,84,1.29
2024-07-13,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,9411,7697,271,182,69.5,1.3,141.42,2,150,1.22
2024-07-13,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2201,1570,67,41,29.91,1.2,140.39,4,34,1.4
2024-07-13,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,5536,4662,123,100,89.0,3.6,433.15,14,84,1.19
2024-07-13,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2258,1431,48,27,16.4,0.4,47.06,1,22,1.58
2024-07-13,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,5906,4502,102,67,47.65,1.0,130.41,3,59,1.31
2024-07-14,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,5206,2647,115,75,73.58,1.4,189.26,5,63,1.97
2024-07-14,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,18103,8893,440,296,198.96,6.4,863.99,27,252,2.04
2024-07-14,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,2775,971,98,66,50.05,3.5,531.17,14,53,2.86
2024-07-14,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,6964,2944,263,171,143.97,6.8,986.23,24,145,2.36
2024-07-14,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,3106,2083,64,40,34.06,0.9,114.21,3,35,1.49
2024-07-14,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,11107,6836,242,165,95.73,3.0,353.02,6,140,1.62
2024-07-14,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,3581,3034,104,65,20.39,0.6,66.64,1,57,1.18
2024-07-14,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,9616,7680,336,205,54.34,1.6,158.96,5,179,1.25
2024-07-14,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2208,1469,52,35,26.95,1.0,124.53,3,27,1.5
2024-07-14,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,3838,2650,108,64,53.04,1.6,222.67,6,49,1.45
2024-07-14,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2072,1929,30,19,15.92,0.4,49.32,1,16,1.07
2024-07-14,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,mobile,5841,4377,60,51,56.77,0.9,103.11,3,39,1.33
2024-07-15,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,6815,3724,131,98,82.68,2.0,285.13,7,85,1.83
