date,campaign_id,campaign_name,campaign_type,market,device,impressions,clicks,cost,conversions,conversion_value,search_impression_share
2024-07-03,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,3618,57,59.43,1.5,197.25,
2024-07-03,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,421,10,12.23,0.3,40.06,
2024-07-03,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,8986,39,18.76,0.9,108.34,
2024-07-03,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,14620,83,31.19,1.5,181.34,
2024-07-03,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,2198,11,4.86,0.2,21.21,
2024-07-04,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1661,131,141.36,8.0,1207.74,0.76
2024-07-04,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,1950,176,178.8,11.0,1499.49,0.81
2024-07-04,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,347,28,38.1,2.1,347.26,0.71
2024-07-04,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,980,39,117.49,0.9,113.93,0.78
2024-07-04,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1866,52,130.46,1.3,164.95,0.81
2024-07-04,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,298,9,30.33,0.2,23.89,0.74
2024-07-04,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,9753,116,78.61,3.1,440.92,
2024-07-04,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,14758,168,129.47,4.7,631.32,
2024-07-04,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,2538,32,25.13,1.0,126.44,
2024-07-04,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,1030,73,62.32,3.4,511.47,0.72
2024-07-04,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1254,93,90.88,5.0,681.94,0.76
2024-07-04,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,246,18,16.89,0.7,79.97,0.8
2024-07-04,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,986,73,50.4,3.4,487.31,0.78
2024-07-04,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1736,102,65.13,4.7,507.8,0.64
2024-07-04,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,207,17,11.09,0.8,91.94,0.81
2024-07-04,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,650,30,42.48,1.0,114.63,0.71
2024-07-04,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,1029,45,59.19,1.7,188.72,0.75
2024-07-04,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,186,7,11.09,0.2,25.1,0.67
2024-07-04,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1997,39,43.46,1.0,133.54,
2024-07-04,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,3435,62,72.14,1.8,267.15,
2024-07-04,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,428,8,9.62,0.2,26.29,
2024-07-04,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,8558,43,16.49,0.8,81.63,
2024-07-04,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,18925,94,35.6,1.4,145.97,
2024-07-04,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,2911,14,6.05,0.3,31.48,
2024-07-05,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1614,136,144.82,9.6,1116.76,0.67
2024-07-05,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2265,188,221.16,10.5,1533.05,0.71
2024-07-05,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,411,34,42.88,1.9,264.75,0.7
2024-07-05,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,1138,41,110.28,1.3,166.87,0.7
2024-07-05,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,2511,70,189.32,1.5,153.06,0.7
2024-07-05,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,249,9,30.15,0.2,25.59,0.59
2024-07-05,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,8605,88,81.21,3.2,443.7,
2024-07-05,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,8828,130,117.92,4.3,592.03,
2024-07-05,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,2077,27,21.32,0.8,108.62,
2024-07-05,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,761,59,59.56,3.6,448.9,0.7
2024-07-05,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1233,96,87.62,5.8,698.37,0.77
2024-07-05,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,235,21,20.99,1.0,117.06,0.62
2024-07-05,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,948,66,49.68,3.1,324.4,0.86
2024-07-05,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1251,94,67.21,4.5,526.77,0.67
2024-07-05,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,188,15,12.72,0.8,88.24,0.66
2024-07-05,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,608,27,41.48,0.6,84.18,0.71
2024-07-05,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,1378,46,62.8,1.5,188.6,0.65
2024-07-05,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,149,7,10.16,0.2,21.99,0.71
2024-07-05,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,2513,50,40.74,1.4,206.92,
2024-07-05,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,3391,66,80.87,1.6,270.11,
2024-07-05,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,551,11,12.12,0.3,41.51,
2024-07-05,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,9230,46,19.61,0.8,82.98,
2024-07-05,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,13212,76,33.52,0.9,107.64,
2024-07-05,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,3934,19,6.92,0.3,29.28,
2024-07-06,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,882,83,89.57,5.5,878.63,0.76
2024-07-06,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,1406,118,134.21,6.0,919.62,0.71
2024-07-06,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,239,20,26.96,1.1,174.29,0.66
2024-07-06,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,825,28,84.87,0.7,75.59,0.77
2024-07-06,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1163,45,121.44,1.0,106.48,0.63
2024-07-06,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,218,9,24.22,0.2,27.26,0.73
2024-07-06,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,5769,72,58.59,2.3,337.91,
2024-07-06,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,9426,109,94.42,3.5,484.13,
2024-07-06,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,1396,18,13.46,0.6,79.81,
2024-07-06,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,676,48,47.52,2.4,316.89,0.66
2024-07-06,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1196,99,78.17,5.8,769.44,0.78
2024-07-06,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,245,15,16.26,0.7,86.45,0.72
2024-07-06,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,715,51,33.58,2.1,229.69,0.64
2024-07-06,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1139,72,44.17,3.6,382.56,0.87
2024-07-06,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,203,13,9.57,0.6,65.82,0.73
2024-07-06,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,605,27,41.32,0.7,87.26,0.82
2024-07-06,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,583,25,45.94,0.7,91.93,0.78
2024-07-06,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,188,7,9.71,0.2,24.85,0.76
2024-07-06,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1589,33,32.29,1.0,146.27,
2024-07-06,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,2246,47,56.12,1.3,157.82,
2024-07-06,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,389,8,9.5,0.2,25.58,
2024-07-06,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,7302,39,17.8,0.7,77.18,
2024-07-06,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,12678,64,27.64,1.1,116.79,
2024-07-06,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,1890,9,4.35,0.2,20.43,
2024-07-07,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,797,73,83.76,4.5,706.36,0.63
2024-07-07,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,1314,106,138.95,7.2,1000.8,0.8
2024-07-07,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,353,27,31.23,1.9,310.31,0.69
2024-07-07,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,759,23,65.09,0.5,55.18,0.68
2024-07-07,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,915,37,107.26,0.8,103.56,0.71
2024-07-07,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,193,6,19.47,0.2,24.32,0.75
2024-07-07,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,4450,50,53.19,1.5,192.41,
2024-07-07,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,7000,94,75.4,3.5,450.93,
2024-07-07,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,1234,14,13.22,0.5,68.6,
2024-07-07,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,339,30,33.65,1.5,188.95,0.74
2024-07-07,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,732,66,67.22,3.6,438.11,0.64
2024-07-07,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,124,11,10.72,0.6,79.4,0.72
2024-07-07,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,528,35,31.33,1.5,186.91,0.76
2024-07-07,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1052,71,52.63,3.4,425.68,0.77
2024-07-07,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,127,10,8.31,0.5,60.48,0.71
2024-07-07,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,435,16,27.9,0.5,60.53,0.72
2024-07-07,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,796,32,49.69,0.8,105.97,0.76
2024-07-07,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,146,6,9.87,0.2,28.15,0.71
2024-07-07,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1178,24,28.33,0.6,85.3,
2024-07-07,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,2417,49,48.63,1.3,199.4,
2024-07-07,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,289,6,6.4,0.2,27.85,
2024-07-07,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,5378,23,12.8,0.3,34.16,
2024-07-07,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,9338,50,20.24,0.9,94.53,
2024-07-07,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,1126,6,3.31,0.1,12.63,
2024-07-08,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1517,113,114.97,6.7,990.41,0.71
2024-07-08,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2239,205,216.04,12.2,1927.12,0.74
2024-07-08,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,370,31,39.75,2.0,320.84,0.73
2024-07-08,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,1023,41,114.5,0.9,123.56,0.72
2024-07-08,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1471,48,137.35,1.3,147.86,0.69
2024-07-08,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,301,8,23.31,0.2,25.46,0.77
2024-07-08,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,9043,108,83.18,3.5,428.71,
2024-07-08,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,13464,158,146.81,5.1,699.98,
2024-07-08,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,1788,20,17.07,0.6,79.18,
2024-07-08,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,1074,76,76.97,4.5,650.49,0.77
2024-07-08,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1395,112,100.21,6.5,905.52,0.76
2024-07-08,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,259,22,20.37,1.2,181.9,0.68
2024-07-08,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,1084,71,51.0,3.0,336.16,0.74
2024-07-08,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1517,106,70.49,6.0,785.36,0.75
2024-07-08,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,228,17,12.11,0.7,78.84,0.62
2024-07-08,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,709,27,44.23,1.0,112.74,0.64
2024-07-08,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,877,41,68.12,1.2,162.94,0.72
2024-07-08,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,164,7,11.81,0.2,27.95,0.8
2024-07-08,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1619,34,39.04,1.0,133.84,
2024-07-08,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,2461,55,60.98,1.6,217.36,
2024-07-08,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,717,16,13.18,0.4,54.38,
2024-07-08,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,8243,46,18.27,0.8,90.44,
2024-07-08,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,13694,69,32.98,1.1,130.64,
2024-07-08,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,2925,14,5.67,0.3,35.24,
2024-07-09,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1407,109,126.48,8.2,1225.33,0.74
2024-07-09,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2425,189,233.07,11.1,1600.28,0.72
2024-07-09,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,384,33,41.01,2.0,291.82,0.6
2024-07-09,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,1039,40,117.21,0.7,98.03,0.71
2024-07-09,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1992,74,188.01,1.6,182.42,0.83
2024-07-09,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,262,10,29.48,0.3,36.43,0.74
2024-07-09,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,9802,120,102.04,4.3,631.84,
2024-07-09,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,14771,157,142.19,6.0,735.72,
2024-07-09,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,2432,29,23.45,1.0,138.47,
2024-07-09,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,765,60,66.57,3.2,448.08,0.79
2024-07-09,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1046,84,84.9,4.5,649.38,0.71
2024-07-09,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,252,19,18.38,0.9,103.52,0.81
2024-07-09,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,1092,60,37.95,2.5,257.07,0.81
2024-07-09,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1329,114,74.42,5.7,638.47,0.58
2024-07-09,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,427,25,15.39,1.3,178.68,0.8
2024-07-09,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,644,28,45.1,0.9,115.03,0.73
2024-07-09,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,1208,47,65.88,1.1,136.42,0.66
2024-07-09,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,131,6,10.47,0.2,21.86,0.66
2024-07-09,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,2404,47,47.01,1.4,180.82,
2024-07-09,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,3723,70,67.22,2.0,244.32,
2024-07-09,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,521,11,12.71,0.3,46.58,
2024-07-09,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,9681,49,21.44,0.9,99.39,
2024-07-09,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,16921,79,33.35,1.2,150.48,
2024-07-09,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,2585,12,5.13,0.2,21.48,
2024-07-10,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1641,135,151.87,7.3,1240.15,0.65
2024-07-10,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2016,168,215.29,9.9,1420.59,0.72
2024-07-10,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,286,28,37.08,1.6,206.58,0.71
2024-07-10,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,1301,53,138.39,1.6,183.5,0.75
2024-07-10,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,2129,73,198.51,1.7,187.44,0.68
2024-07-10,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,278,9,25.76,0.2,21.01,0.74
2024-07-10,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,10282,128,87.18,4.7,573.1,
2024-07-10,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,15061,168,149.54,5.3,747.46,
2024-07-10,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,2294,25,22.85,0.8,95.79,
2024-07-10,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,1036,72,62.56,4.5,636.07,0.76
2024-07-10,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1117,94,86.58,5.3,816.84,0.74
2024-07-10,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,263,20,18.53,1.1,151.1,0.78
2024-07-10,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,1102,63,38.28,3.0,314.55,0.6
